Aspect Ratio,Audio Jack,Bluetooth,Capacity,Chipset,Colours,Display Type,Expandable Memory,FM Radio,Fingerprint Sensor,Fingerprint Sensor Position,Flash,GPS,Graphics,Height,Image Resolution,Internal Memory,NFC,Network Support,Operating System,Optical Image Stabilisation,Other Sensors,Physical Aperture,Pixel Density,Processor,Quick Charging,RAM,Rating Count,Resolution,Review Count,Screen Size,Settings,Shooting Modes,Thickness,Touch Screen,Type,USB Connectivity,User Replaceable,VoLTE,Weight,Wi-Fi Features,Width,Rating
4,0,1,4000,4,4,2,256,1,1,4,1,2,0,157.9,3,7,1,3,8,2,5,2,403,0,2,3,172274,3,17138,6.26,1,3,8.2,2,0,1,0,1,182.0,2,76.4,1
4,0,1,4230,4,3,2,256,1,1,4,1,1,0,156.2,4,4,0,3,8,2,5,3,271,0,0,2,339447,5,38252,6.2,1,2,8.2,2,1,1,0,1,168.0,0,75.6,1
3,0,1,3500,3,3,2,256,3,1,4,1,2,2,157.0,4,4,1,3,8,1,3,2,409,0,0,2,1149,6,1151,6.3,1,2,8.0,2,1,1,0,1,168.0,0,74.0,1
1,0,1,3300,5,3,9,512,3,1,5,1,2,2,159.8,6,7,0,3,7,1,4,2,411,0,0,3,6026,6,779,6.0,1,2,7.5,2,1,1,0,1,169.0,2,76.8,1
3,0,1,3750,1,3,2,400,3,1,4,1,2,2,160.4,6,7,0,3,8,2,5,2,396,0,0,3,5175,1,5177,6.5,1,2,7.8,2,0,1,0,1,175.0,0,76.6,1
3,0,1,3400,4,3,9,256,3,1,3,1,2,0,157.9,3,7,1,3,8,1,5,2,402,0,1,4,19350,6,4178,6.41,1,2,7.9,2,1,1,0,1,156.0,2,75.0,1
2,0,1,3000,3,4,2,256,3,0,2,1,2,3,147.5,4,2,0,3,8,2,4,3,295,1,0,1,7525,4,5543,5.45,1,1,8.3,2,0,1,0,1,145.0,2,71.5,1
4,0,1,4000,4,4,2,256,1,1,4,1,2,0,149.3,3,4,1,3,8,2,5,3,432,0,0,2,15725,4,15649,5.84,1,3,8.7,2,0,1,0,1,178.0,2,71.6,1
4,0,1,4230,4,2,2,256,3,0,2,1,1,0,156.2,4,2,0,3,8,2,4,3,271,0,0,1,4414,5,905,6.2,1,2,8.2,2,1,1,0,1,168.0,0,75.6,1
5,0,1,4000,4,3,2,256,3,1,4,1,2,0,155.5,3,7,1,3,8,2,5,2,403,0,2,4,111795,3,16756,6.18,1,3,8.8,2,0,0,0,1,182.0,2,75.2,1
